year,registry_group_number,registry_group_name,region,prov_terr,district,pop_on_reserve_crown_land_men,pop_on_reserve_crown_land_women,pop_on_reserve_crown_land_total,pop_off_reserve_men,pop_off_reserve_women,pop_off_reserve_total,pop_total_men,pop_total_women,pop_total_total
2022,808,General list Yukon region,Yukon,Yukon,NA,X,X,X,X,X,X,X,X,X
2022,809,General list Northwest Territories region,Northwest Territories,Northwest Territories,NA,X,X,X,X,X,X,X,X,X
2022,810,General list Atlantic region,Atlantic,NA,NA,0,0,0,212,221,433,212,221,433
2022,816,General list Quebec District,Quebec,Quebec,Quebec District,0,0,0,110,129,239,110,129,239
2022,817,General list Sudbury District,Ontario,Ontario,Sudbury District,X,X,X,X,X,X,370,433,803
2022,821,General list Southern District,Ontario,Ontario,Southern District,X,X,X,X,X,X,X,X,X
2022,826,General list Western District,Ontario,Ontario,Western District,X,X,X,X,X,X,X,X,X
2022,831,General list North Central District,Saskatchewan,Saskatchewan,North Central District,X,X,X,X,X,X,X,X,X
2022,834,General list South District,Saskatchewan,Saskatchewan,South District,X,X,X,X,X,X,X,X,X
2022,838,General list Alberta region,Alberta,Alberta,Alberta District,X,X,X,X,X,X,578,653,1231
2022,848,General list British Columbia region,British Columbia,British Columbia,NA,X,X,X,X,X,X,191,167,358
